Date,Market_Price
12/3/2021 0:00,56508.48
12/4/2021 0:00,53713.84
12/5/2021 0:00,49253.86
12/6/2021 0:00,49380.43
12/7/2021 0:00,50564.63
12/8/2021 0:00,50645.41
12/9/2021 0:00,50511.12
12/10/2021 0:00,47659.68
12/11/2021 0:00,47137.46
12/12/2021 0:00,49379.67
12/13/2021 0:00,50117.25
12/14/2021 0:00,46757.09
12/15/2021 0:00,48392.79
12/16/2021 0:00,48884.66
12/17/2021 0:00,47658.38
12/18/2021 0:00,46173.51
12/19/2021 0:00,46863.67
12/20/2021 0:00,46689.28
12/21/2021 0:00,46910.13
12/22/2021 0:00,48934.57
12/23/2021 0:00,48628.35
12/24/2021 0:00,50785.69
12/25/2021 0:00,50814.92
12/26/2021 0:00,50470.89
12/27/2021 0:00,50801.11
12/28/2021 0:00,50692.3
12/29/2021 0:00,47601.26
12/30/2021 0:00,46408.87
12/31/2021 0:00,47132.96
1/1/2022 0:00,46249.56
1/2/2022 0:00,47763.33
1/3/2022 0:00,47327.87
1/4/2022 0:00,46441.99
1/5/2022 0:00,45862.98
1/6/2022 0:00,43436.17
1/7/2022 0:00,43120.63
1/8/2022 0:00,41528.04
1/9/2022 0:00,41690.93
1/10/2022 0:00,41864.44
1/11/2022 0:00,41849
1/12/2022 0:00,42723.37
1/13/2022 0:00,43926
1/14/2022 0:00,42546.44
1/15/2022 0:00,43099.37
1/16/2022 0:00,43146.53
1/17/2022 0:00,43102.44
1/18/2022 0:00,42248.35
1/19/2022 0:00,42381.48
1/20/2022 0:00,41707.85
1/21/2022 0:00,40684.42
1/22/2022 0:00,36480.85
1/23/2022 0:00,35071.43
1/24/2022 0:00,36280.82
1/25/2022 0:00,36678.82
1/26/2022 0:00,36948.81
1/27/2022 0:00,36823.5
1/28/2022 0:00,37146.85
1/29/2022 0:00,37770.15
1/30/2022 0:00,38186.49
1/31/2022 0:00,37918.62
2/1/2022 0:00,38521.79
2/2/2022 0:00,38739.74
2/3/2022 0:00,36912.68
2/4/2022 0:00,37092.4
2/5/2022 0:00,41584.19
2/6/2022 0:00,41435.43
2/7/2022 0:00,42450.98
2/8/2022 0:00,43834.02
2/9/2022 0:00,44133.28
2/10/2022 0:00,44397.3
2/11/2022 0:00,43531.11
2/12/2022 0:00,42401.27
2/13/2022 0:00,42245.56
2/14/2022 0:00,42104.89
2/15/2022 0:00,42580.94
2/16/2022 0:00,44536.2
2/17/2022 0:00,43948.81
2/18/2022 0:00,40565.69
2/19/2022 0:00,40014.55
2/20/2022 0:00,40115.05
2/21/2022 0:00,38382.32
2/22/2022 0:00,37031.08
2/23/2022 0:00,38262.17
2/24/2022 0:00,37291.48
2/25/2022 0:00,38344.78
2/26/2022 0:00,39222.6
2/27/2022 0:00,39103.91
2/28/2022 0:00,37704.56
3/1/2022 0:00,43226.36
3/2/2022 0:00,44418.83
3/3/2022 0:00,43934.85
3/4/2022 0:00,42464.4
3/5/2022 0:00,39141.25
3/6/2022 0:00,39399.58
3/7/2022 0:00,38407.69
3/8/2022 0:00,38032.5
3/9/2022 0:00,38753.1
3/10/2022 0:00,41956.53
3/11/2022 0:00,39437.89
3/12/2022 0:00,38741.04
3/13/2022 0:00,38809.18
3/14/2022 0:00,37820.39
3/15/2022 0:00,39680.6
3/16/2022 0:00,39320.82
3/17/2022 0:00,41133.08
3/18/2022 0:00,40946.78
3/19/2022 0:00,41795.77
3/20/2022 0:00,42222.32
3/21/2022 0:00,41250.83
3/22/2022 0:00,41071.41
3/23/2022 0:00,42372.67
3/24/2022 0:00,42905.06
3/25/2022 0:00,44004.47
