tweet_id,text,favorite_count,retweet_count,created_at
1515726764945080320,Honestly speaking IK has ignored Karachi during his govt but still we r supporting him q k baqi sb Tw bht bury hyn,0,0,Sun Apr 17 16:19:56 +0000 2022
1515726591627771911,DostMMizari A nation formed on the ideology of merit and tolerance of economic and social wellbeing and prosperi,0,0,Sun Apr 17 16:19:14 +0000 2022
1515726498174361604,Karachi Its a massive response to Chairman PTI ImranKhanPTIs call Imported Government rejected,3,5,Sun Apr 17 16:18:52 +0000 2022
1515726495385370629,HamidMirPAK A nation formed on the ideology of merit and tolerance of economic and social wellbeing and prosperi,0,0,Sun Apr 17 16:18:51 +0000 2022
1515726280880181252,After effects of KarachiJalsa,1,0,Sun Apr 17 16:18:00 +0000 2022
1515726199586422790,Honestly speaking IK has ignored Karachi during his govt but still we r supporting him q k baqi sb Tw bht bury hyn,1,1,Sun Apr 17 16:17:41 +0000 2022
1515726046020218885,This clip will totally uplift you in 1 min If you were there reading this National Anthem at KarachiJalsa you a,0,1,Sun Apr 17 16:17:04 +0000 2022
1515725796643590147,True patriotic leader amp last politically Democratic hope for Pakistan Honoured to be part of his Sindh MPA Cabi,8,3,Sun Apr 17 16:16:05 +0000 2022
1515725727437578255,I was the Prime Minister who was he threatening to remove me Chairman Pakistan TehreekeInsaf ImranKhanPTI,0,1,Sun Apr 17 16:15:48 +0000 2022
1515725576627097600,Indian fascists using Hum dekhenge to justify their genocide in Kashmir and PTI supporters playing the same for,4,0,Sun Apr 17 16:15:12 +0000 2022
1515725511758127109,KarachiJalsaOver 1 Billion Rupees Donated by Pakistanis in 24 hours on Imran Khan call,322,407,Sun Apr 17 16:14:57 +0000 2022
1515725393973624833,Imran Khan Entry X Squid Game About Last Night KarachiJalsa,43,53,Sun Apr 17 16:14:29 +0000 2022
1515725299194990600,PunjabAssemblyYou are never alone captainKarachiJalsa,9,7,Sun Apr 17 16:14:06 +0000 2022
1515725017455202309,PunjabAssemblyA courageous leaderKarachiJalsa,6,6,Sun Apr 17 16:12:59 +0000 2022
1515724833367150600,A nation formed on the ideology of merit and tolerance of economic and social wellbeing and prosperity calls out,0,0,Sun Apr 17 16:12:15 +0000 2022
1515724809115635717,Khan Sahab is happy to be everyones waalid except his own daughter KarachiJalsa,7,0,Sun Apr 17 16:12:09 +0000 2022
1515724780477067269,Hence starts another vital test for ImranKhan amp PTI In the lead up to the NoConfidenceMotion in NA hed clear,8,1,Sun Apr 17 16:12:03 +0000 2022
1515724724541825034,PunjabAssemblyWe are absolutely not Ur slavesKarachiJalsa,48,42,Sun Apr 17 16:11:49 +0000 2022
1515724687405645825,Never been part of such large crowd and electric crowd before The crowd was massiveNot a fan of big gatherings,0,0,Sun Apr 17 16:11:40 +0000 2022
1515724346806972416,PunjabAssemblyElection or revolutionKarachiJalsa,29,33,Sun Apr 17 16:10:19 +0000 2022
1515724251088707590,This new government is just like you go to grocery store to buy eggs and all turn out expired and dirtythat disapp,0,0,Sun Apr 17 16:09:56 +0000 2022
1515723550149287947,soldierspeaks Imran Khan mentioned then GOC Swat Major General Sanaulllah Khan Niazi Shaheed SitaraeBasalat,0,0,Sun Apr 17 16:07:09 +0000 2022
